rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
1,1,0,OLD,20231089,존 윅 4,2023-04-12,1467837459,41.3,788457035,116.1,11742599842,138902,74905,117,1118053,1535,4592,20230422
2,2,0,OLD,20226270,스즈메의 문단속,2023-03-08,761403353,21.4,506736557,199,49996315086,74834,50202,203.8,4859965,995,2849,20230422
3,3,0,OLD,20226489,리바운드,2023-04-05,297109742,8.4,158513808,114.4,5506617128,30067,15793,110.6,572260,709,1639,20230422
4,4,0,OLD,20225865,옥수역귀신,2023-04-19,238837100,6.7,110527500,86.1,602689500,22358,10154,83.2,58996,314,927,20230422
5,5,0,OLD,20200154,킬링 로맨스,2023-04-14,158179565,4.5,74978570,90.1,1206313184,16251,7746,91.1,125507,614,1311,20230422
6,6,1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,102631764,2.9,47742602,87,47192814471,9464,4323,84.1,4526412,324,487,20230422
7,7,29,OLD,20227890,슈퍼 마리오 브라더스,2023-04-26,98830540,2.8,97102540,5619.4,167497160,8477,8333,5786.8,15238,63,65,20230422
8,8,-2,OLD,20231244,렌필드,2023-04-19,73175915,2.1,14838430,25.4,327054596,7043,1177,20.1,33932,572,1346,20230422
9,9,0,OLD,20100312,인셉션,2010-07-21,67653500,1.9,30404000,81.6,45043896940,3661,1643,81.4,6008787,21,63,20230422
10,10,1,OLD,20231009,거울 속 외딴 성,2023-04-12,31376591,0.9,20283845,182.9,339148093,3280,2135,186.5,34310,121,138,20230422
1,1,0,OLD,20231089,존 윅 4,2023-04-12,679380424,42.7,263011814,63.2,10274762383,63997,22636,54.7,979151,1414,3997,20230421
2,2,0,OLD,20226270,스즈메의 문단속,2023-03-08,254666796,16.0,112382243,79,49234911733,24632,10183,70.5,4785131,857,2212,20230421
3,3,0,OLD,20226489,리바운드,2023-04-05,138595934,8.7,39568033,40,5209507386,14274,2971,26.3,542193,636,1391,20230421
4,4,0,OLD,20225865,옥수역귀신,2023-04-19,128309600,8.1,32518600,33.9,363852400,12204,2522,26,36638,283,849,20230421
5,5,0,OLD,20200154,킬링 로맨스,2023-04-14,83200995,5.2,16332915,24.4,1048133619,8505,619,7.8,109256,633,1389,20230421
6,6,0,OLD,20231244,렌필드,2023-04-19,58337485,3.7,7310046,14.3,253878681,5866,461,8.5,26889,519,1411,20230421
7,7,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,54889162,3.5,18778121,52,47090182707,5141,1672,48.2,4516948,291,415,20230421
8,8,3,OLD,20227863,라이스보이 슬립스,2023-04-19,19223883,1.2,5496106,40,109619193,2113,521,32.7,12154,233,321,20230421
9,9,1,OLD,20100312,인셉션,2010-07-21,37249500,2.3,7439000,25,44976243440,2018,335,19.9,6005126,21,64,20230421
10,10,-2,OLD,20231004,65,2023-04-20,18513910,1.2,-2107657,-10.2,41605477,1881,-264,-12.3,4273,425,620,20230421
1,1,0,OLD,20231089,존 윅 4,2023-04-12,416368610,37.6,-18390858,-4.2,9595381959,41361,-2051,-4.7,915154,1315,3622,20230420
2,2,0,OLD,20226270,스즈메의 문단속,2023-03-08,142284553,12.9,-15116729,-9.6,48980244937,14449,-1700,-10.5,4760499,785,1888,20230420
3,3,1,OLD,20226489,리바운드,2023-04-05,99027901,8.9,-5949430,-5.7,5070911452,11303,-374,-3.2,527919,619,1254,20230420
4,4,-1,OLD,20225865,옥수역귀신,2023-04-19,95791000,8.7,-39620800,-29.3,235542800,9682,-4450,-31.5,24434,271,807,20230420
5,5,1,OLD,20200154,킬링 로맨스,2023-04-14,66868080,6.0,517633,0.8,964932624,7886,417,5.6,100751,620,1388,20230420
6,6,-1,OLD,20231244,렌필드,2023-04-19,51027439,4.6,-40264318,-44.1,195541196,5405,-4420,-45,21023,531,1476,20230420
7,7,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,36111041,3.3,-3002777,-7.7,47035293545,3469,-252,-6.8,4511807,238,336,20230420
8,8,0,NEW,20231004,65,2023-04-20,20621567,1.9,20621567,100,23091567,2145,2145,100,2392,462,756,20230420
9,9,0,NEW,20070202,초속5센티미터,2007-06-21,17997600,1.6,17997600,100,306147229,2016,2016,100,49859,32,32,20230420
10,10,-1,OLD,20100312,인셉션,2010-07-21,29810500,2.7,-17119500,-36.5,44938993940,1683,-1095,-39.4,6003108,21,64,20230420
1,1,0,OLD,20231089,존 윅 4,2023-04-12,434759468,35.4,-64017401,-12.8,9179013349,43412,-5610,-11.4,873793,1358,3808,20230419
2,2,0,OLD,20226270,스즈메의 문단속,2023-03-08,157401282,12.8,746058,0.5,48837960384,16149,517,3.3,4746050,776,2013,20230419
3,3,0,NEW,20225865,옥수역귀신,2023-04-19,135411800,11.0,135411800,100,139751800,14132,14132,100,14752,277,867,20230419
4,4,-1,OLD,20226489,리바운드,2023-04-05,104977331,8.5,12984281,14.1,4971883551,11677,1681,16.8,516616,622,1323,20230419
5,5,0,NEW,20231244,렌필드,2023-04-19,91291757,7.4,91291757,100,144513757,9825,9825,100,15618,577,1892,20230419
6,6,-2,OLD,20200154,킬링 로맨스,2023-04-14,66350447,5.4,-24243855,-26.8,898064544,7469,-2173,-22.5,92865,635,1509,20230419
7,7,-2,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,39113818,3.2,-17832136,-31.3,46999182504,3721,-727,-16.3,4508338,252,376,20230419
8,8,0,NEW,20227863,라이스보이 슬립스,2023-04-19,26150273,2.1,26150273,100,76667533,3054,3054,100,8449,250,361,20230419
9,9,0,NEW,20100312,인셉션,2010-07-21,46930000,3.8,46930000,100,44909183440,2778,2778,100,6001425,21,64,20230419
10,10,0,NEW,20198482,드림,2023-04-26,22655000,1.8,22655000,100,38771000,2479,2479,100,4335,12,12,20230419
1,1,0,OLD,20231089,존 윅 4,2023-04-12,498776869,49.1,-61489999,-11,8744253881,49022,-6077,-11,830381,1418,4178,20230418
2,2,0,OLD,20226270,스즈메의 문단속,2023-03-08,156655224,15.4,-17701758,-10.2,48680559102,15632,-1794,-10.3,4729901,780,2252,20230418
3,3,0,OLD,20226489,리바운드,2023-04-05,91993050,9.1,-2717118,-2.9,4866906220,9996,145,1.5,504939,638,1550,20230418
4,4,0,OLD,20200154,킬링 로맨스,2023-04-14,90594302,8.9,7094113,8.5,831714097,9642,529,5.8,85396,809,2401,20230418
5,5,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,56945954,5.6,8015211,16.4,46960068686,4448,517,13.2,4504617,278,432,20230418
6,6,1,OLD,20231009,거울 속 외딴 성,2023-04-12,21669981,2.1,6209420,40.2,277096588,2301,776,50.9,27730,275,370,20230418
7,7,2,OLD,20210544,웅남이,2023-03-22,8480399,0.8,357399,4.4,2837524871,1140,204,21.8,309765,105,127,20230418
8,8,0,OLD,20231010,에어,2023-04-05,10565114,1.0,-6336,-0.1,1012026465,1058,9,0.9,103796,218,269,20230418
9,9,1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,10091597,1.0,2323401,29.9,2917957873,979,217,28.5,292065,161,223,20230418
10,10,0,NEW,20167904,라라랜드,2016-12-07,7050392,0.7,7050392,100,31093057900,875,875,100,3768585,50,55,20230418
1,1,0,OLD,20231089,존 윅 4,2023-04-12,560266868,52.1,-1265267257,-69.3,8245477012,55099,-116607,-67.9,781359,1398,4149,20230417
2,2,0,OLD,20226270,스즈메의 문단속,2023-03-08,174356982,16.2,-817554181,-82.4,48523903878,17426,-81164,-82.3,4714269,754,2308,20230417
3,3,0,OLD,20226489,리바운드,2023-04-05,94710168,8.8,-370956229,-79.7,4774913170,9851,-35990,-78.5,494943,636,1553,20230417
4,4,0,OLD,20200154,킬링 로맨스,2023-04-14,83500189,7.8,-91619153,-52.3,741119795,9113,-8276,-47.6,75754,811,2357,20230417
5,5,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,48930743,4.6,-96345876,-66.3,46903122732,3931,-7588,-65.9,4500169,268,420,20230417
6,6,0,NEW,20198482,드림,2023-04-26,16116000,1.5,16116000,100,16116000,1856,1856,100,1856,8,8,20230417
7,7,-1,OLD,20231009,거울 속 외딴 성,2023-04-12,15460561,1.4,-42832716,-73.5,255426607,1525,-4152,-73.1,25429,257,352,20230417
8,8,0,OLD,20231010,에어,2023-04-05,10571450,1.0,-22331876,-67.9,1001461351,1049,-2131,-67,102738,217,269,20230417
9,9,3,OLD,20210544,웅남이,2023-03-22,8123000,0.8,-7097527,-46.6,2829044472,936,-602,-39.1,308625,93,113,20230417
10,10,-3,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,7768196,0.7,-32528462,-80.7,2907866276,762,-2913,-79.3,291086,164,218,20230417
1,1,0,OLD,20231089,존 윅 4,2023-04-12,1825534125,46.2,-532237550,-22.6,7685210144,171706,-49297,-22.3,726260,1505,4640,20230416
2,2,0,OLD,20226270,스즈메의 문단속,2023-03-08,991911163,25.1,-188297195,-16,48349546896,98590,-17611,-15.2,4696843,955,2933,20230416
3,3,0,OLD,20226489,리바운드,2023-04-05,465666397,11.8,-74614044,-13.8,4680203002,45841,-7658,-14.3,485092,726,1842,20230416
4,4,0,OLD,20200154,킬링 로맨스,2023-04-14,175119342,4.4,-72846929,-29.4,657619606,17389,-7068,-28.9,66641,935,2968,20230416
5,5,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,145276619,3.7,-40789480,-21.9,46854191989,11519,-3551,-23.6,4496238,294,461,20230416
6,6,0,OLD,20231009,거울 속 외딴 성,2023-04-12,58293277,1.5,-1710632,-2.9,239966046,5677,-187,-3.2,23904,335,445,20230416
7,7,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,40296658,1.0,-11648130,-22.4,2900098080,3675,-975,-21,290324,203,285,20230416
8,8,0,OLD,20231010,에어,2023-04-05,32903326,0.8,-7317021,-18.2,990889901,3180,-603,-15.9,101689,262,334,20230416
9,9,1,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,29339600,0.7,-1975000,-6.3,611429400,3106,-69,-2.2,68007,104,146,20230416
10,10,1,OLD,20179462,위대한 쇼맨,2017-12-20,21783773,0.6,13354,0.1,13536013685,1983,-65,-3.2,1721355,46,55,20230416
1,1,0,OLD,20231089,존 윅 4,2023-04-12,2357771675,47.7,1230661761,109.2,5859676019,221003,115125,108.7,554554,1505,4779,20230415
2,2,0,OLD,20226270,스즈메의 문단속,2023-03-08,1180208358,23.9,831488568,238.4,47357635733,116201,82385,243.6,4598253,917,2932,20230415
3,3,1,OLD,20226489,리바운드,2023-04-05,540280441,10.9,338251285,167.4,4214536605,53499,32894,159.6,439251,764,1893,20230415
4,4,-1,OLD,20200154,킬링 로맨스,2023-04-14,247966271,5.0,49206278,24.8,482500264,24457,3349,15.9,49252,998,3395,20230415
5,5,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,186066099,3.8,110167993,145.2,46708915370,15070,9515,171.3,4484719,296,457,20230415
6,6,0,OLD,20231009,거울 속 외딴 성,2023-04-12,60003909,1.2,29029107,93.7,181672769,5864,2880,96.5,18227,334,445,20230415
7,7,1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,51944788,1.1,28797766,124.4,2859801422,4650,2449,111.3,286649,205,299,20230415
8,8,-1,OLD,20231010,에어,2023-04-05,40220347,0.8,16911254,72.6,957986575,3783,1499,65.6,98509,259,340,20230415
9,9,0,NEW,20227890,슈퍼 마리오 브라더스,2023-04-26,35220000,0.7,35220000,100,50588620,3522,3522,100,4982,18,18,20230415
10,10,17,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,31314600,0.6,30120500,2522.4,582089800,3175,3024,2002.6,64901,98,138,20230415
1,1,0,OLD,20231089,존 윅 4,2023-04-12,1127109914,52.7,356202995,46.2,3501904344,105878,30489,40.4,333551,1391,4259,20230414
2,2,0,OLD,20226270,스즈메의 문단속,2023-03-08,348719790,16.3,137914682,65.4,46177427375,33816,12754,60.6,4482052,783,2440,20230414
3,3,24,OLD,20200154,킬링 로맨스,2023-04-14,198759993,9.3,196159993,7544.6,234533993,21108,20908,10454,24795,970,3596,20230414
4,4,-1,OLD,20226489,리바운드,2023-04-05,202029156,9.4,62170756,44.5,3674256164,20605,5765,38.8,385752,658,1723,20230414
5,5,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,75898106,3.5,21509116,39.5,46522849271,5555,1340,31.8,4469649,264,394,20230414
6,6,0,OLD,20231009,거울 속 외딴 성,2023-04-12,30974802,1.4,3702289,13.6,121668860,2984,269,9.9,12363,310,457,20230414
7,7,0,OLD,20231010,에어,2023-04-05,23309093,1.1,941554,4.2,917766228,2284,28,1.2,94726,292,390,20230414
8,8,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,23147022,1.1,7906309,51.9,2807856634,2201,676,44.3,281999,197,295,20230414
9,9,4,OLD,20179462,위대한 쇼맨,2017-12-20,12562661,0.6,4037533,47.4,13492459493,1187,375,46.2,1717324,43,56,20230414
10,10,-1,OLD,20227684,멍뭉이,2023-03-01,6392000,0.3,-1695500,-21,1774896586,735,-360,-32.9,189429,15,15,20230414
1,1,0,OLD,20231089,존 윅 4,2023-04-12,770906919,54.8,-373455087,-32.6,2374794430,75389,-37754,-33.4,227673,1532,4607,20230413
2,2,0,OLD,20226270,스즈메의 문단속,2023-03-08,210805108,15.0,-44854474,-17.5,45828707585,21062,-4919,-18.9,4448236,927,2991,20230413
3,3,0,OLD,20226489,리바운드,2023-04-05,139858400,9.9,-17633695,-11.2,3472227008,14840,-1989,-11.8,365147,761,2282,20230413
4,4,13,OLD,20231244,렌필드,2023-04-19,41179000,2.9,36733000,826.2,45625000,4505,4011,811.9,4999,25,25,20230413
